,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
696,57,19.7,8.7,3.7,5.8,61.8,0.0,0.0,6.0,1.7,2.8,61.1,2.4,3.3,6.0,0.4,0.3,0.6,0.7,1
697,24,6.9,2.1,0.8,2.0,44.8,0.1,0.3,3.2,0.3,0.5,67.1,0.5,1.0,1.5,0.1,0.1,0.3,0.4,0
698,70,13.8,5.4,2.1,3.9,50.8,0.1,0.1,21.7,1.0,1.5,68.9,0.9,1.8,2.8,0.9,0.4,0.3,0.8,1
699,63,11.6,4.0,1.8,3.9,43.3,0.0,0.0,3.1,0.5,0.7,67.0,1.4,2.5,3.9,0.2,0.2,0.2,1.0,1
700,62,11.2,3.1,1.2,3.1,38.5,0.4,0.8,31.4,0.6,0.8,73.5,0.3,0.7,1.0,1.8,0.3,0.0,0.6,1
701,52,16.7,5.2,2.1,5.0,41.4,0.5,1.4,39.7,0.7,1.1,68.5,0.6,1.7,2.4,0.5,0.6,0.4,1.2,1
702,60,12.1,3.4,1.3,2.7,46.3,0.6,1.4,29.4,0.5,0.9,62.0,0.7,1.1,1.9,0.8,0.4,0.5,0.6,1
703,48,15.1,4.9,1.9,4.0,48.5,0.6,1.7,5.0,0.9,1.3,69.2,0.6,1.6,2.1,1.6,0.9,0.3,1.2,1
704,77,25.4,11.4,4.5,10.6,43.3,0.1,0.3,19.3,2.8,3.6,87.3,1.5,3.2,4.8,0.7,0.8,0.5,1.3,1
705,74,24.6,9.0,3.5,9.0,38.7,1.1,3.1,24.3,1.1,1.6,69.2,0.8,2.9,4.0,3.0,0.6,0.3,2.2,1
706,69,32.1,13.1,4.8,12.7,35.3,0.5,1.7,50.5,2.8,3.2,88.9,1.2,2.8,3.9,5.4,1.7,0.2,1.9,1
707,48,9.4,4.2,1.6,3.4,45.9,0.0,0.0,0.0,1.1,1.6,64.5,1.5,1.7,3.2,0.2,0.1,0.4,0.5,0
708,77,25.8,7.2,2.9,7.6,38.7,0.0,0.0,17.5,1.1,1.7,64.9,1.2,2.4,3.5,3.3,1.2,0.1,2.0,1
709,48,16.8,4.7,1.8,4.5,41.4,0.6,1.6,18.9,0.8,1.2,68.7,0.4,1.0,1.4,2.0,0.5,0.0,1.2,1
710,70,14.4,3.7,1.5,3.6,37.9,0.8,1.9,56.5,0.5,0.7,77.5,0.0,0.6,0.7,5.9,1.2,0.0,1.3,1
711,48,26.3,9.2,3.2,6.9,48.6,0.5,1.3,47.2,2.0,2.4,77.7,1.4,2.5,3.9,0.8,0.8,0.4,1.5,1
712,63,28.6,12.5,4.6,13.1,31.4,1.2,3.6,16.2,2.0,2.9,66.4,1.3,2.8,4.3,2.2,0.9,0.2,1.3,1
713,76,25.5,15.2,6.1,14.1,41.9,0.5,1.7,28.2,2.4,3.3,72.6,0.3,1.5,1.8,4.5,1.0,0.2,2.1,1
714,44,17.1,7.0,2.6,5.3,49.5,0.5,1.6,34.1,1.0,1.5,70.3,1.1,1.8,2.9,0.6,0.4,0.2,1.0,0
715,68,13.5,4.1,1.7,3.5,48.3,0.0,0.0,0.0,0.7,1.4,59.0,1.9,1.9,3.8,0.2,0.4,0.4,0.5,1
716,57,10.4,3.7,1.3,3.9,33.2,0.4,1.5,26.0,0.8,1.0,71.4,0.6,1.5,2.1,0.5,0.2,0.1,0.7,1
717,63,15.5,5.8,2.4,5.1,46.3,0.0,0.0,14.2,1.1,1.3,90.8,0.6,2.0,2.5,2.0,1.1,0.1,1.8,1
718,44,11.5,5.2,2.3,4.2,53.0,0.5,1.0,28.0,0.4,0.8,61.2,1.7,2.0,3.7,0.1,0.3,0.6,0.9,1
719,89,12.2,4.4,1.6,3.2,48.1,0.0,0.0,1.1,1.4,2.6,56.3,0.7,0.9,1.5,0.5,0.3,0.1,1.3,0
720,62,14.8,4.6,2.0,4.8,42.4,0.0,0.2,0.0,0.6,0.9,64.7,1.3,1.6,2.9,1.2,0.4,0.2,1.0,1
721,53,12.0,4.7,1.8,4.1,46.7,0.5,1.5,27.7,0.5,0.7,78.3,0.6,0.9,1.6,0.3,0.3,0.3,0.3,0
722,75,25.7,8.4,3.2,7.2,45.2,0.0,0.1,12.6,1.9,2.8,67.4,1.5,3.7,5.0,1.4,0.9,0.2,1.2,1
723,56,11.1,3.6,1.4,2.8,51.0,0.1,0.3,8.5,0.7,1.1,58.9,0.9,1.0,1.9,0.9,0.3,0.2,0.4,1
724,45,6.3,1.8,0.6,1.7,34.6,0.0,0.1,22.8,0.6,0.5,89.7,0.1,0.5,0.7,0.6,0.2,0.0,0.3,1
725,64,9.7,3.3,1.1,2.7,41.4,1.0,2.6,46.1,0.6,0.7,75.2,0.1,0.4,0.5,2.1,1.3,0.0,0.7,1
726,95,21.8,9.2,3.1,7.2,43.3,0.5,1.9,21.6,2.1,2.8,79.2,1.1,3.8,5.0,0.7,0.8,0.3,1.6,1
727,73,21.2,9.1,4.0,8.5,45.7,0.0,0.2,2.5,1.2,1.6,81.0,1.1,3.6,4.7,1.0,0.4,0.5,1.3,1
728,44,9.6,2.3,0.8,1.5,50.8,0.0,0.0,8.7,0.8,1.6,51.8,1.2,3.0,4.4,0.2,0.3,0.8,0.8,1
729,82,25.6,9.3,3.8,7.2,51.1,0.6,1.6,23.5,1.2,1.7,76.8,0.9,2.2,3.0,4.1,0.9,0.6,1.8,1
730,68,20.9,9.7,3.6,8.1,43.9,0.0,0.0,0.0,3.7,5.7,60.0,5.4,4.2,9.0,0.4,0.4,0.6,2.7,1
731,43,14.0,4.9,1.6,4.5,35.9,0.0,0.5,5.1,1.5,2.7,52.3,0.9,2.0,3.0,1.9,0.8,0.3,1.7,0
732,89,14.8,4.5,1.6,3.9,41.3,0.2,0.5,28.4,0.9,1.0,87.5,0.2,0.6,0.9,2.9,0.9,0.0,1.4,1
733,80,17.6,9.3,4.0,8.3,47.4,0.0,0.0,0.0,1.7,3.0,58.7,2.7,4.2,6.7,0.7,0.7,0.5,1.7,1
734,79,22.7,9.0,3.6,7.7,44.8,0.6,1.7,17.9,1.4,1.8,74.5,1.6,3.5,5.2,1.4,1.2,0.6,1.5,1
735,61,19.7,6.6,2.8,6.1,46.2,0.0,0.0,12.3,1.0,1.3,78.3,1.6,3.0,4.3,0.9,0.7,0.3,1.3,1
736,70,18.9,9.0,3.0,7.4,42.5,0.9,2.3,38.4,2.0,2.9,72.1,0.5,1.3,1.8,1.9,1.0,0.1,1.0,1
737,73,12.5,3.8,1.3,3.5,37.7,0.4,1.0,29.7,0.8,0.8,82.9,0.5,1.2,1.8,0.7,0.5,0.2,0.5,1
738,91,51.3,19.3,7.6,16.0,49.9,0.6,1.8,29.9,3.6,4.8,69.3,3.5,5.9,9.6,2.4,1.2,1.6,2.8,1
739,86,17.4,6.9,2.8,7.0,38.2,0.0,0.0,0.0,1.4,2.2,63.7,1.4,3.0,4.5,0.5,0.5,0.3,0.7,1
740,52,21.9,8.5,3.8,8.4,46.2,0.0,0.0,0.0,1.1,1.7,63.6,2.2,3.1,5.6,1.4,0.9,0.2,1.7,1
741,54,13.5,3.8,1.5,4.2,33.5,0.0,0.0,0.0,0.8,1.3,63.4,0.5,1.3,1.9,1.8,0.6,0.3,0.6,1
742,49,16.3,7.2,3.3,6.7,51.1,0.3,1.2,16.0,0.7,0.8,84.0,0.7,1.4,1.9,2.9,0.8,0.3,0.9,1
743,46,9.5,2.3,1.0,2.5,43.4,0.1,0.6,8.3,0.2,0.2,74.1,0.4,1.4,1.8,0.3,0.4,0.2,0.3,0
744,46,12.4,5.0,2.0,4.4,43.5,0.0,0.0,16.5,1.1,1.6,66.0,0.6,1.5,1.9,1.0,0.2,0.5,0.7,1
745,73,35.7,11.2,4.2,9.6,43.5,0.7,2.0,60.3,2.5,3.3,75.0,0.9,3.7,4.6,1.9,1.0,0.2,2.2,1
746,63,32.1,14.7,6.1,12.0,53.8,0.2,0.4,17.8,2.3,3.0,70.6,3.4,5.1,8.3,0.6,0.7,0.4,1.4,1
747,75,18.5,5.0,2.2,5.6,37.9,0.4,1.3,30.6,0.6,0.7,85.8,0.5,2.7,3.1,1.8,0.5,0.1,0.8,1
748,31,6.9,2.2,0.9,1.8,47.5,0.0,0.0,0.0,0.7,1.0,78.9,0.8,1.0,1.8,0.1,0.1,0.3,0.2,1
749,71,30.8,15.2,6.3,11.4,57.6,0.1,0.2,9.4,3.2,4.5,75.1,3.0,5.6,9.1,0.6,0.6,0.6,1.5,1
750,56,24.8,12.7,4.7,11.0,42.6,0.9,2.4,25.3,2.4,3.0,79.1,0.3,2.2,2.3,4.7,1.2,0.0,3.3,1
751,33,15.0,6.1,2.1,4.6,46.9,0.0,0.3,22.5,1.4,1.7,83.9,0.4,1.3,1.7,0.4,0.2,0.2,0.6,1
752,70,9.3,2.0,0.8,2.2,38.7,0.0,0.2,26.4,0.2,0.3,86.5,0.2,0.7,0.9,0.5,0.2,0.1,0.5,1
753,107,24.5,8.2,3.1,6.5,48.7,0.2,0.8,14.1,1.8,2.4,70.4,1.3,2.7,3.9,2.7,1.6,0.6,2.0,1
754,28,17.7,3.5,1.1,4.0,27.5,0.7,2.1,37.9,0.8,0.7,91.5,0.1,1.4,1.4,2.7,0.7,0.0,1.3,0
755,75,27.7,13.6,4.7,12.4,37.9,1.0,2.7,52.5,3.0,4.0,83.7,0.2,0.8,1.0,9.9,2.1,0.0,2.5,1
756,26,7.0,2.8,0.9,2.0,43.9,0.4,1.3,33.0,0.8,1.1,65.8,0.3,0.6,0.9,0.3,0.4,0.0,0.3,1
757,60,16.3,6.5,2.2,4.9,46.3,0.3,0.9,14.8,1.4,1.7,81.9,1.4,2.8,4.1,0.9,0.7,0.3,0.8,1
758,81,39.7,16.8,6.2,11.5,56.7,0.7,1.6,5.3,3.5,4.5,80.3,1.5,3.8,5.5,2.5,1.6,0.1,2.4,1
759,50,13.9,3.8,1.3,3.2,40.7,0.4,1.2,29.0,0.9,1.2,76.2,0.5,1.9,2.2,1.3,0.5,0.3,0.9,1
760,58,23.9,10.8,4.0,10.4,35.1,1.1,3.3,36.6,1.4,1.4,92.8,0.4,1.3,1.6,2.0,0.6,0.0,1.3,1
761,64,20.1,6.6,2.4,7.8,28.2,0.9,2.8,49.7,0.8,1.0,78.9,0.5,1.3,1.8,2.8,0.8,0.0,1.1,0
762,55,18.1,7.2,2.4,6.0,40.4,0.4,1.5,37.7,1.8,2.2,82.5,0.4,1.2,1.7,2.8,0.6,0.0,1.1,0
763,73,30.0,12.9,5.2,11.8,42.9,0.2,0.9,4.2,2.3,2.9,80.4,0.9,2.8,3.8,5.6,1.1,0.2,2.7,1
764,57,13.1,4.3,1.6,3.4,48.1,0.0,0.0,0.0,1.2,2.0,61.6,1.3,3.2,4.4,0.3,0.3,0.4,1.0,1
765,66,28.7,13.9,5.8,13.0,45.9,0.4,1.3,27.7,2.4,3.0,79.9,1.6,2.9,4.8,3.0,0.6,0.4,2.1,1
766,42,7.8,2.8,1.2,2.5,46.9,0.0,0.0,10.1,0.4,0.6,72.0,0.4,0.4,0.7,0.8,0.3,0.1,0.5,1
767,77,26.0,11.0,4.1,8.1,51.7,0.0,0.0,0.0,3.3,4.8,69.5,3.3,4.6,8.0,1.3,0.6,0.4,1.4,0
768,40,14.6,5.2,1.5,4.2,36.3,0.9,2.5,23.6,1.8,2.5,69.8,0.6,0.6,1.3,2.5,0.9,0.1,1.3,1
769,75,18.5,8.5,3.1,6.5,50.3,0.2,0.8,7.2,2.2,3.3,71.6,1.2,2.1,3.2,1.0,0.9,0.4,1.8,1
770,83,28.4,7.3,2.7,5.5,48.0,0.7,1.7,42.0,1.8,2.8,71.0,1.2,3.0,4.1,3.4,0.6,0.2,1.9,1
771,63,15.7,7.0,2.7,6.1,41.7,0.1,0.5,19.4,1.9,2.7,72.8,2.0,2.1,4.1,0.4,0.7,0.2,1.3,1
772,106,24.4,11.0,4.6,9.7,47.7,0.0,0.0,7.0,1.9,3.2,64.3,1.9,3.5,5.9,2.3,0.6,0.2,2.3,1
773,27,5.5,1.4,0.7,1.4,52.1,0.0,0.0,0.0,0.1,0.1,56.0,0.6,0.9,1.5,0.3,0.1,0.0,0.4,1
774,39,6.7,2.1,0.7,1.7,40.9,0.4,1.0,28.7,0.6,0.7,79.6,0.8,0.6,1.3,0.0,0.1,0.2,0.3,0
775,39,30.6,12.1,4.7,9.7,48.3,0.5,1.6,19.7,2.6,3.3,74.7,1.8,4.6,6.1,3.1,0.9,0.4,1.9,1
776,72,26.2,9.8,3.4,8.4,41.5,0.9,2.7,38.0,1.5,1.9,71.2,0.4,1.7,2.2,2.5,0.9,0.2,1.2,1
777,61,45.1,22.1,8.0,17.6,47.5,0.8,2.5,44.2,4.2,5.5,84.0,1.4,4.2,5.7,4.0,1.3,0.2,2.8,1
778,59,24.3,8.8,3.2,7.3,44.8,1.2,3.1,45.6,1.0,1.8,57.0,1.1,2.9,3.9,2.1,1.0,0.5,1.7,0
779,57,23.1,9.4,3.9,8.5,49.6,0.4,1.1,15.5,1.1,1.8,68.7,3.3,5.4,8.9,0.2,0.3,0.8,0.7,0
780,38,7.4,1.5,0.5,1.2,38.9,0.0,0.0,3.7,0.8,0.9,87.3,0.1,0.7,0.8,0.7,0.3,0.0,0.7,0
781,61,11.2,4.4,1.6,3.4,48.2,0.0,0.3,16.2,0.9,1.5,65.1,0.6,1.8,2.6,0.1,0.2,0.4,0.7,1
782,55,14.1,3.7,1.5,4.0,37.4,0.3,0.6,8.9,0.7,0.9,72.0,0.9,2.0,2.9,0.4,0.2,0.5,0.4,1
783,67,16.0,4.8,1.9,4.0,45.5,0.8,2.2,36.1,0.5,0.7,67.8,1.1,2.4,3.6,0.4,0.3,0.4,0.7,1
784,51,7.7,2.7,1.1,2.1,48.6,0.0,0.0,0.0,0.8,1.5,48.8,0.7,0.8,1.5,0.2,0.2,0.3,0.5,1
785,61,11.9,5.5,2.3,4.7,49.3,0.0,0.1,48.3,1.1,1.3,87.5,1.4,2.4,3.7,0.3,0.2,0.2,0.5,1
786,59,12.4,5.1,2.4,4.7,49.7,0.3,1.1,11.6,0.6,1.0,63.2,1.7,1.5,3.1,0.2,0.3,0.2,0.3,0
787,67,20.2,7.2,2.3,6.0,37.8,0.7,2.1,34.7,1.6,2.6,73.5,0.7,2.8,3.6,1.2,0.7,0.0,1.2,1
788,40,12.8,5.3,1.7,4.9,37.1,0.4,1.2,25.8,1.5,2.1,70.2,0.7,1.1,1.8,0.6,0.3,0.0,0.9,1
789,65,12.6,5.2,2.2,4.2,52.1,0.0,0.0,0.0,0.9,1.6,55.0,1.4,3.0,4.4,0.8,0.4,0.3,1.3,1
790,40,11.1,4.4,1.9,4.1,46.5,0.0,0.0,0.0,0.9,1.4,69.4,0.6,0.8,1.4,0.7,0.7,0.0,0.6,1
791,71,10.8,4.7,1.9,4.2,42.3,0.4,0.8,11.8,1.0,1.2,69.4,0.8,1.0,1.8,2.2,0.3,0.1,0.8,1
792,66,14.0,4.9,1.7,3.9,43.9,0.5,1.2,33.2,0.9,1.3,72.6,0.7,2.1,2.8,0.9,0.2,0.0,0.9,1
793,92,25.3,11.7,5.1,9.3,57.8,0.5,1.5,31.5,1.2,1.8,67.3,1.1,3.7,5.1,2.2,1.1,0.3,1.3,1
794,68,39.9,21.1,7.4,16.9,41.4,0.7,2.1,38.6,5.4,6.7,88.6,1.2,3.8,4.9,5.0,1.6,0.4,4.3,1
795,35,5.1,1.6,0.7,1.5,46.1,0.0,0.0,0.0,0.3,0.5,64.8,0.2,0.4,0.6,0.4,0.2,0.0,0.5,1
796,58,15.9,6.5,2.6,5.7,45.2,0.0,0.1,10.1,1.2,1.8,70.3,1.5,3.2,5.2,0.3,0.3,0.6,1.0,1
797,58,15.7,7.8,3.2,8.3,38.0,0.1,0.5,0.0,1.3,1.7,74.9,0.8,1.9,2.7,1.2,0.6,0.2,1.0,1
798,62,11.3,3.3,1.2,2.8,45.4,0.1,0.1,23.2,0.6,0.8,67.8,0.5,1.2,1.6,1.3,0.5,0.1,0.8,1
799,76,18.2,10.9,4.3,10.2,41.9,0.7,2.3,44.2,1.6,1.7,90.6,0.6,0.9,1.4,3.4,0.6,0.1,2.0,1
800,40,5.9,3.5,1.6,3.5,43.7,0.4,1.2,43.6,0.2,0.3,73.4,0.1,0.3,0.4,1.3,0.2,0.0,0.4,1
801,44,8.1,3.0,1.1,2.1,51.2,0.5,1.5,16.6,0.4,0.7,59.3,1.2,1.5,2.6,0.0,0.1,0.1,0.4,1
802,66,26.9,10.7,4.2,9.2,45.2,0.3,0.7,24.4,2.1,3.5,58.3,2.0,2.5,4.3,2.6,0.9,1.0,2.1,1
803,66,28.9,14.7,5.6,14.8,36.8,0.2,1.3,14.1,3.7,5.1,81.6,1.4,1.7,3.0,3.7,1.6,0.5,2.8,0
804,88,23.8,8.0,3.4,6.2,55.0,0.0,0.0,0.0,1.7,2.8,68.5,4.4,5.4,9.9,0.5,0.4,1.2,1.1,1
805,88,59.6,24.2,8.8,18.9,49.2,0.7,2.0,25.3,5.8,7.9,75.0,2.9,8.7,11.8,5.7,2.3,0.4,4.1,1
806,29,12.0,2.9,1.0,2.6,39.1,0.3,0.9,44.5,0.7,1.0,74.4,0.5,0.8,1.5,1.6,0.6,0.1,0.6,1
807,64,15.0,5.8,2.2,4.9,44.9,0.6,1.5,31.4,0.7,0.9,75.4,0.7,1.2,2.1,0.5,0.7,0.4,0.9,1
808,43,19.4,8.9,3.1,7.1,42.2,0.7,2.1,53.8,1.5,2.0,77.9,0.6,1.8,2.4,1.5,0.6,0.3,1.5,1
809,60,17.7,8.0,2.8,5.4,51.0,0.3,0.9,0.0,1.9,2.9,67.4,1.7,1.8,3.3,2.1,0.5,0.3,1.1,1
810,68,21.1,5.6,2.4,5.6,42.4,0.3,0.9,8.9,0.9,1.2,73.3,1.4,2.5,3.7,1.0,0.4,0.7,1.2,1
811,67,17.2,4.9,2.0,3.4,60.3,0.0,0.0,4.7,1.2,1.7,64.5,1.0,2.2,3.1,1.1,0.3,0.5,0.9,1
812,71,12.8,2.4,0.7,1.7,46.7,0.6,1.7,33.1,0.9,1.5,61.6,0.7,1.0,1.6,0.7,0.5,0.2,0.5,1
813,62,18.4,6.5,2.3,6.4,35.8,0.5,1.4,35.5,1.4,1.8,79.3,1.0,2.4,3.4,2.3,0.8,0.1,0.9,1
814,69,31.8,15.2,6.4,14.5,47.1,0.3,1.0,29.3,2.1,2.5,84.5,1.7,3.5,5.1,2.4,0.9,0.2,1.5,1
815,47,17.2,5.2,1.8,4.5,38.2,0.5,1.4,15.4,1.2,1.5,73.8,0.6,1.0,1.7,1.6,0.7,0.2,0.8,1
816,85,29.4,10.8,4.6,9.2,51.0,0.3,1.0,32.4,1.2,1.6,77.8,1.5,2.9,4.3,1.5,0.8,0.4,1.5,1
817,100,32.7,16.4,6.4,10.8,61.3,0.6,1.7,19.8,3.0,4.2,63.3,3.2,7.3,10.6,0.3,0.7,1.8,1.0,1
818,46,12.1,3.9,1.3,3.3,40.8,0.7,2.0,15.7,0.8,0.9,79.9,0.3,1.2,1.5,0.8,0.4,0.1,0.6,0
819,74,51.6,16.0,5.7,13.4,42.2,0.7,2.3,52.5,3.1,3.8,89.2,0.7,2.8,3.4,7.8,2.1,0.2,2.4,1
820,58,11.7,3.4,1.2,2.8,42.1,0.5,1.4,15.3,0.7,1.0,74.6,0.9,1.0,2.1,0.6,0.2,0.2,0.5,0
821,64,17.4,8.1,3.0,7.5,40.6,0.0,0.2,4.3,2.0,2.6,75.4,1.0,1.7,2.6,2.1,0.8,0.1,1.4,1
822,60,8.6,1.9,0.8,1.8,43.6,0.0,0.0,26.3,0.4,0.5,75.5,0.1,0.5,0.7,1.3,0.5,0.0,0.4,1
823,48,14.1,4.9,1.8,4.5,38.8,0.0,0.0,0.0,0.9,1.5,61.7,0.7,1.3,2.1,0.9,0.2,0.1,0.9,0
824,69,22.3,7.1,2.5,6.9,36.5,1.4,3.9,41.8,1.2,1.7,66.0,0.4,2.1,2.5,1.6,0.5,0.2,1.8,1
825,94,30.1,16.5,6.7,13.2,52.1,0.2,0.5,0.0,3.6,5.0,79.7,1.9,3.3,5.6,2.6,1.1,0.3,2.7,1
826,72,12.9,3.6,1.2,3.5,33.9,0.9,2.7,48.9,0.9,1.3,69.7,0.2,1.1,1.4,1.6,0.5,0.0,0.6,1
827,76,13.4,4.9,2.2,4.3,51.4,0.0,0.0,0.0,0.8,1.6,58.2,2.2,2.9,5.0,0.8,0.4,0.3,1.0,1
828,38,5.7,2.4,1.0,2.3,44.8,0.0,0.3,16.4,0.2,0.2,81.1,0.1,0.3,0.4,0.3,0.1,0.0,0.4,1
829,71,11.7,4.2,1.4,4.3,31.6,0.5,1.9,26.6,1.1,1.5,79.8,0.4,1.0,1.5,2.1,0.8,0.0,1.2,1
830,77,17.2,6.5,2.6,4.8,56.2,0.0,0.0,2.4,1.1,1.8,55.8,1.7,2.8,4.7,0.8,0.6,0.1,1.2,1
831,53,18.4,6.4,2.3,5.5,42.1,0.5,0.9,30.0,1.2,1.3,88.3,0.2,1.0,1.3,2.5,0.7,0.0,1.0,1
832,68,16.8,7.7,2.7,5.2,50.2,0.4,1.2,29.0,2.0,2.7,70.0,1.8,2.4,4.2,2.3,0.6,1.0,1.1,1
833,72,22.2,7.9,3.0,7.7,38.9,0.4,1.3,0.8,1.5,2.3,68.9,1.1,3.7,4.9,0.7,0.6,0.6,1.4,1
834,62,19.3,7.0,2.8,5.8,48.7,0.3,0.8,16.2,1.0,1.4,65.9,0.8,2.0,2.7,0.9,0.9,0.2,0.8,1
835,44,14.9,7.4,2.8,5.7,49.0,0.4,0.9,22.8,1.3,1.9,72.2,0.3,1.5,1.7,1.6,0.5,0.0,2.0,1
836,52,11.5,4.6,1.7,4.5,37.9,0.3,0.8,39.5,0.7,0.8,78.7,0.4,0.5,0.7,0.8,0.6,0.2,0.8,1
837,67,24.4,8.6,3.9,8.1,48.7,0.3,0.6,5.6,0.9,1.6,51.0,1.6,3.1,4.5,1.4,0.8,0.4,1.2,1
838,68,15.0,5.3,1.9,4.2,45.3,0.0,0.0,0.0,1.8,2.8,65.8,1.0,1.7,2.8,1.5,0.4,0.3,1.1,1
839,24,5.6,1.4,0.5,1.5,37.1,0.2,0.7,24.5,0.1,0.2,74.7,0.0,0.5,0.6,0.4,0.1,0.0,0.2,1
840,34,7.9,1.8,0.7,1.8,41.4,0.0,0.0,9.5,0.3,0.5,61.9,0.8,1.2,2.0,0.1,0.2,0.2,0.2,0
841,55,12.5,4.9,2.2,4.0,52.7,0.0,0.0,0.0,1.0,2.1,52.6,1.7,2.0,3.9,0.9,0.4,0.2,1.5,1
842,62,10.5,4.1,1.6,3.6,43.6,0.0,0.0,3.4,1.2,1.7,74.1,0.9,0.9,1.8,0.3,0.2,0.6,0.9,1
843,66,25.2,6.0,2.1,5.8,36.1,0.3,1.1,9.3,1.6,2.4,62.3,0.8,2.4,3.1,6.3,1.3,0.2,2.1,1
844,49,8.9,3.9,1.5,2.6,51.8,0.0,0.0,0.0,1.4,2.4,61.0,2.5,2.4,4.8,0.2,0.1,0.4,0.8,1
845,102,40.5,11.9,4.9,9.4,53.7,0.1,0.4,0.0,2.9,4.2,71.3,3.1,5.3,8.8,4.7,1.9,0.4,3.2,1
846,85,22.0,10.0,4.1,8.9,45.5,0.1,0.5,19.7,2.0,2.9,68.4,0.5,1.8,2.4,2.5,0.9,0.1,1.7,0
847,76,24.6,6.0,2.1,4.9,44.0,0.1,0.4,20.4,1.9,2.5,75.4,1.4,3.5,4.6,2.1,0.8,0.1,1.5,0
848,79,16.0,8.0,3.0,5.7,51.7,0.2,0.2,19.4,1.9,2.5,73.5,2.1,2.4,4.3,0.4,0.5,0.7,1.3,1
849,70,25.6,6.9,2.7,6.8,40.1,0.9,2.7,39.9,0.6,0.8,67.1,0.3,1.6,1.9,2.1,1.0,0.1,0.8,1
850,14,10.2,3.2,1.1,2.9,41.4,0.5,1.7,8.2,0.6,0.9,67.3,0.8,1.6,2.4,0.3,0.2,0.2,0.7,0
851,57,23.3,8.2,2.9,7.8,37.1,0.3,0.8,27.0,2.0,2.4,83.8,0.9,2.2,3.3,2.5,1.1,0.0,1.7,0
852,60,8.7,2.1,0.9,2.1,43.7,0.0,0.1,0.0,0.2,0.3,71.5,0.9,1.9,3.0,0.2,0.3,0.3,0.3,1
853,65,21.0,7.3,3.1,5.6,53.8,0.3,0.5,0.0,1.2,1.5,80.1,1.2,2.3,4.0,1.7,0.5,0.2,1.7,1
854,57,14.2,5.7,2.5,4.9,50.7,0.2,1.0,28.5,0.7,1.1,66.0,0.4,1.2,1.7,1.5,0.4,0.1,0.9,1
855,62,17.3,5.7,2.2,5.1,41.0,0.3,0.8,7.1,1.2,1.8,65.6,1.6,3.5,5.2,1.4,0.7,0.3,1.5,1
856,63,27.0,10.9,4.0,8.3,48.4,0.0,0.0,1.8,3.0,4.0,76.9,2.1,3.1,5.0,3.3,1.1,0.6,2.7,1
857,86,29.7,16.7,6.3,15.7,39.4,0.8,2.4,47.0,2.6,2.9,85.6,0.6,2.3,2.8,4.5,0.9,0.1,3.7,1
858,13,4.8,1.9,0.7,1.8,37.2,0.0,0.0,24.4,0.5,0.7,72.8,0.9,0.3,0.9,0.7,0.1,0.0,0.5,1
859,58,17.8,5.4,2.0,4.9,41.5,0.3,1.0,12.9,0.7,1.0,77.5,0.7,1.2,1.8,1.7,0.7,0.2,1.3,1
860,72,18.6,9.8,4.0,9.3,41.5,0.0,0.0,24.8,2.3,3.0,72.9,1.2,1.3,2.3,2.8,0.8,0.2,1.5,1
861,61,17.1,5.4,2.3,4.8,45.9,0.3,0.8,3.9,0.8,1.3,62.3,0.9,3.0,4.0,0.6,0.3,0.1,1.0,1
862,77,19.8,9.4,4.1,6.6,58.1,0.0,0.0,0.0,2.7,3.8,66.5,2.1,2.5,4.5,1.2,0.6,0.6,1.3,1
863,74,16.0,12.9,5.8,10.8,55.2,0.2,0.6,28.1,1.4,2.1,68.2,1.3,0.8,1.8,1.3,0.5,0.1,1.5,1
864,105,26.9,14.7,5.9,11.1,54.2,0.3,0.6,22.6,2.3,3.0,74.0,1.4,4.1,5.5,3.0,0.8,0.4,1.9,1
865,76,16.6,4.9,1.8,4.4,41.9,0.2,0.9,39.7,1.0,1.2,87.7,0.6,1.7,2.1,0.5,0.7,0.6,0.6,1
866,82,8.6,3.4,1.4,3.1,46.0,0.0,0.0,18.1,0.5,1.0,61.9,0.9,0.7,1.4,0.5,0.5,0.0,0.6,1
867,66,17.3,6.6,2.8,5.7,47.3,0.1,0.3,0.0,1.3,2.4,50.7,1.8,2.6,4.2,1.2,0.5,1.0,1.1,1
868,33,12.8,4.0,1.7,3.0,56.2,0.2,0.5,19.9,0.5,0.8,67.0,0.6,1.7,2.2,0.3,0.5,0.3,0.4,0
869,58,8.2,4.7,1.9,3.8,48.9,0.0,0.0,21.4,0.7,1.2,66.1,0.8,1.3,2.2,0.0,0.2,0.3,0.6,1
870,54,13.5,5.9,2.6,6.2,44.6,0.7,1.9,23.5,0.5,1.0,52.1,0.8,0.9,1.7,0.9,0.8,0.0,0.8,1
871,58,12.2,3.8,1.4,3.2,43.9,0.2,0.3,13.9,0.8,1.2,61.9,1.7,1.5,3.1,0.2,0.2,0.1,0.3,1
872,61,11.5,3.5,1.7,3.5,47.5,0.1,0.5,1.1,0.2,0.4,60.6,0.2,0.9,1.1,0.8,0.3,0.2,0.6,0
873,84,39.3,12.7,4.7,10.7,43.4,0.3,1.2,29.1,2.6,3.0,84.4,1.4,3.4,5.0,5.3,1.8,0.4,2.5,0
